education,gender,byear,employment,hhinc,pol_ideo,pol_pident,marr_status,soc_dist6,soc_dist7,age,mask_binary,iso_binary,gender_group,education_group,income_group,ideo_group,party_group,employment_group,marital_group
4-year degree,Female,1991.0,Employed full-time in an organization,"$50,000 - $59,999",Extremely conservative,Republican,"Single, never married",11.0,11.0,29.0,1,1,Female,College degree,50k to 99k,Conservative,Republican,Working,Not married
4-year degree,Male,1982.0,Employed full-time in an organization,"$40,000 - $49,999",Extremely liberal,Democrat,Married or in a domestic partnership,11.0,11.0,38.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Working,Married
Some college,Prefer not to say,1985.0,Self-employed,"$70,000 - $79,999",Liberal,Democrat,"Single, never married",6.0,6.0,35.0,1,1,Other,Some college or less,50k to 99k,Liberal,Democrat,Working,Not married
4-year degree,Male,1954.0,Employed full-time in an organization,"$100,000 - $109,999",Liberal,Democrat,Married or in a domestic partnership,11.0,10.0,66.0,1,1,Male,College degree,100k+,Liberal,Democrat,Working,Married
4-year degree,Male,1986.0,Self-employed,"$30,000 - $39,999",Slightly liberal,"Independent, but lean Democrat","Single, never married",9.0,4.0,34.0,0,1,Male,College degree,Less than 50k,Liberal,Other or independent,Working,Not married
Professional degree,Male,1989.0,Employed full-time in an organization,"$80,000 - $89,999",Slightly conservative,Democrat,"Single, never married",10.0,10.0,31.0,1,1,Male,Advanced degree,50k to 99k,Conservative,Democrat,Working,Not married
Some college,Female,1993.0,Employed part-time in an organization,"$30,000 - $39,999",Extremely liberal,Democrat,Married or in a domestic partnership,10.0,1.0,27.0,0,1,Female,Some college or less,Less than 50k,Liberal,Democrat,Working,Married
4-year degree,Male,1984.0,Employed full-time in an organization,"$90,000 - $99,999",Liberal,Democrat,"Single, never married",11.0,11.0,36.0,1,1,Male,College degree,50k to 99k,Liberal,Democrat,Working,Not married
4-year degree,Female,1988.0,Employed full-time in an organization,"$30,000 - $39,999",Slightly conservative,Independent with no party preference,"Single, never married",11.0,11.0,32.0,1,1,Female,College degree,Less than 50k,Conservative,Other or independent,Working,Not married
4-year degree,Female,1987.0,Employed full-time in an organization,"$50,000 - $59,999",Slightly liberal,"Independent, but lean Democrat","Single, never married",1.0,8.0,33.0,1,0,Female,College degree,50k to 99k,Liberal,Other or independent,Working,Not married
2-year degree,Male,1988.0,Employed full-time in an organization,"$60,000 - $69,999",Conservative,Democrat,"Single, never married",11.0,11.0,32.0,1,1,Male,College degree,50k to 99k,Conservative,Democrat,Working,Not married
Professional degree,Male,1990.0,Employed full-time in an organization,"$70,000 - $79,999",Slightly conservative,"Independent, but lean Republican","Single, never married",10.0,11.0,30.0,1,1,Male,Advanced degree,50k to 99k,Conservative,Other or independent,Working,Not married
4-year degree,Female,1982.0,Self-employed,"$40,000 - $49,999",Slightly conservative,"Independent, but lean Republican",Divorced,10.0,10.0,38.0,1,1,Female,College degree,Less than 50k,Conservative,Other or independent,Working,Not married
4-year degree,Male,1980.0,Employed full-time in an organization,"$70,000 - $79,999",Extremely conservative,Republican,Married or in a domestic partnership,8.0,4.0,40.0,0,1,Male,College degree,50k to 99k,Conservative,Republican,Working,Married
4-year degree,Female,1996.0,Employed full-time in an organization,"$125,000 or more",Extremely liberal,Democrat,"Single, never married",1.0,1.0,24.0,0,0,Female,College degree,100k+,Liberal,Democrat,Working,Not married
4-year degree,Male,1963.0,Self-employed,"$10,000 - $19,999",Liberal,Democrat,"Single, never married",10.0,11.0,57.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Working,Not married
4-year degree,Male,1950.0,Retired,"$50,000 - $59,999",Conservative,Republican,Married or in a domestic partnership,11.0,11.0,70.0,1,1,Male,College degree,50k to 99k,Conservative,Republican,Not working,Married
4-year degree,Male,1990.0,Employed full-time in an organization,"$125,000 or more",Slightly liberal,Democrat,Married or in a domestic partnership,11.0,11.0,30.0,1,1,Male,College degree,100k+,Liberal,Democrat,Working,Married
2-year degree,Female,1969.0,Currently unable to work,"$40,000 - $49,999",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,11.0,11.0,51.0,1,1,Female,College degree,Less than 50k,Moderate,Other or independent,Not working,Married
4-year degree,Male,1985.0,"Unemployed, looking for work","$20,000 - $29,999",Liberal,"Independent, but lean Democrat","Single, never married",9.0,10.0,35.0,1,1,Male,College degree,Less than 50k,Liberal,Other or independent,Not working,Not married
2-year degree,Male,1986.0,Employed full-time in an organization,"$40,000 - $49,999",Moderate; middle of the road,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,11.0,34.0,1,1,Male,College degree,Less than 50k,Moderate,Other or independent,Working,Married
Professional degree,Female,1963.0,Employed full-time in an organization,"$125,000 or more",Extremely conservative,Republican,Married or in a domestic partnership,11.0,10.0,57.0,1,1,Female,Advanced degree,100k+,Conservative,Republican,Working,Married
Professional degree,Male,1988.0,Self-employed,"$70,000 - $79,999",Slightly liberal,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,11.0,32.0,1,1,Male,Advanced degree,50k to 99k,Liberal,Other or independent,Working,Married
Professional degree,Female,1968.0,Employed full-time in an organization,"$125,000 or more",Moderate; middle of the road,"Independent, but lean Republican",Married or in a domestic partnership,11.0,7.0,52.0,1,1,Female,Advanced degree,100k+,Moderate,Other or independent,Working,Married
High school graduate,Male,1982.0,Employed full-time in an organization,"$20,000 - $29,999",Moderate; middle of the road,"Independent, but lean Democrat","Single, never married",11.0,11.0,38.0,1,1,Male,Some college or less,Less than 50k,Moderate,Other or independent,Working,Not married
4-year degree,Male,1984.0,Employed full-time in an organization,"$40,000 - $49,999",Slightly conservative,"Independent, but lean Republican","Single, never married",10.0,10.0,36.0,1,1,Male,College degree,Less than 50k,Conservative,Other or independent,Working,Not married
4-year degree,Female,1961.0,Employed full-time in an organization,"$30,000 - $39,999",Conservative,Republican,Divorced,11.0,11.0,59.0,1,1,Female,College degree,Less than 50k,Conservative,Republican,Working,Not married
4-year degree,Male,1984.0,Currently unable to work,"$10,000 - $19,999",Liberal,Democrat,"Single, never married",11.0,11.0,36.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Not working,Not married
4-year degree,Male,1992.0,Employed full-time in an organization,"$50,000 - $59,999",Slightly conservative,"Independent, but lean Republican","Single, never married",9.0,4.0,28.0,0,1,Male,College degree,50k to 99k,Conservative,Other or independent,Working,Not married
Some college,Male,1998.0,Student,"$80,000 - $89,999",Slightly conservative,"Independent, but lean Republican","Single, never married",11.0,11.0,22.0,1,1,Male,Some college or less,50k to 99k,Conservative,Other or independent,Not working,Not married
High school graduate,Male,1986.0,Self-employed,"Less than $10,000",Extremely conservative,Other,"Single, never married",3.0,1.0,34.0,0,0,Male,Some college or less,Less than 50k,Conservative,Other or independent,Working,Not married
4-year degree,Male,1995.0,Employed full-time in an organization,"$80,000 - $89,999",Slightly liberal,Democrat,"Single, never married",9.0,11.0,25.0,1,1,Male,College degree,50k to 99k,Liberal,Democrat,Working,Not married
Some college,Female,1958.0,Retired,"$40,000 - $49,999",Slightly liberal,Democrat,"Single, never married",11.0,11.0,62.0,1,1,Female,Some college or less,Less than 50k,Liberal,Democrat,Not working,Not married
2-year degree,Female,1962.0,Employed full-time in an organization,"$110,000 - $124,999",Liberal,"Independent, but lean Democrat",Divorced,8.0,11.0,58.0,1,1,Female,College degree,100k+,Liberal,Other or independent,Working,Not married
4-year degree,Male,1968.0,Employed full-time in an organization,"$125,000 or more",Liberal,Democrat,Married or in a domestic partnership,3.0,4.0,52.0,0,0,Male,College degree,100k+,Liberal,Democrat,Working,Married
Doctorate,Male,1953.0,Employed full-time in an organization,"$125,000 or more",Liberal,Democrat,"Single, never married",10.0,6.0,67.0,1,1,Male,Advanced degree,100k+,Liberal,Democrat,Working,Not married
4-year degree,Male,1978.0,Employed full-time in an organization,"$125,000 or more",Slightly conservative,"Independent, but lean Republican",Married or in a domestic partnership,2.0,9.0,42.0,1,0,Male,College degree,100k+,Conservative,Other or independent,Working,Married
High school graduate,Male,1994.0,Self-employed,"$90,000 - $99,999",Conservative,Republican,"Single, never married",11.0,9.0,26.0,1,1,Male,Some college or less,50k to 99k,Conservative,Republican,Working,Not married
Some college,Male,1984.0,Employed full-time in an organization,"$30,000 - $39,999",Liberal,Democrat,"Single, never married",8.0,8.0,36.0,1,1,Male,Some college or less,Less than 50k,Liberal,Democrat,Working,Not married
Professional degree,Female,1983.0,Employed full-time in an organization,"$60,000 - $69,999",Extremely liberal,Democrat,Married or in a domestic partnership,11.0,10.0,37.0,1,1,Female,Advanced degree,50k to 99k,Liberal,Democrat,Working,Married
High school graduate,Male,1987.0,Employed full-time in an organization,"$20,000 - $29,999",Liberal,Independent with no party preference,"Single, never married",4.0,10.0,33.0,1,0,Male,Some college or less,Less than 50k,Liberal,Other or independent,Working,Not married
Some college,Male,1975.0,Employed full-time in an organization,"$80,000 - $89,999",Slightly conservative,"Independent, but lean Republican",Married or in a domestic partnership,10.0,11.0,45.0,1,1,Male,Some college or less,50k to 99k,Conservative,Other or independent,Working,Married
4-year degree,Male,1988.0,Employed full-time in an organization,"$60,000 - $69,999",Slightly liberal,"Independent, but lean Democrat","Single, never married",3.0,6.0,32.0,1,0,Male,College degree,50k to 99k,Liberal,Other or independent,Working,Not married
4-year degree,Female,1986.0,Employed full-time in an organization,"$125,000 or more",Slightly liberal,Democrat,Married or in a domestic partnership,7.0,7.0,34.0,1,1,Female,College degree,100k+,Liberal,Democrat,Working,Married
4-year degree,Male,1981.0,Employed full-time in an organization,"$90,000 - $99,999",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,10.0,10.0,39.0,1,1,Male,College degree,50k to 99k,Moderate,Other or independent,Working,Married
4-year degree,Female,1984.0,"Unemployed, looking for work","Less than $10,000",Slightly conservative,"Independent, but lean Republican","Single, never married",6.0,1.0,36.0,0,1,Female,College degree,Less than 50k,Conservative,Other or independent,Not working,Not married
Some college,Male,1984.0,Employed full-time in an organization,"$70,000 - $79,999",Liberal,Democrat,Married or in a domestic partnership,11.0,10.0,36.0,1,1,Male,Some college or less,50k to 99k,Liberal,Democrat,Working,Married
4-year degree,Prefer to self-describe,1982.0,"Unemployed, looking for work","$125,000 or more",Moderate; middle of the road,Independent with no party preference,"Single, never married",7.0,8.0,38.0,1,1,Other,College degree,100k+,Moderate,Other or independent,Not working,Not married
Some college,Male,1953.0,Employed full-time in an organization,"$80,000 - $89,999",Slightly conservative,Republican,Married or in a domestic partnership,10.0,8.0,67.0,1,1,Male,Some college or less,50k to 99k,Conservative,Republican,Working,Married
Some college,Male,1972.0,Employed full-time in an organization,"$30,000 - $39,999",Slightly conservative,"Independent, but lean Republican","Single, never married",9.0,3.0,48.0,0,1,Male,Some college or less,Less than 50k,Conservative,Other or independent,Working,Not married
Some college,Male,1997.0,Employed part-time in an organization,"$20,000 - $29,999",Slightly liberal,"Independent, but lean Democrat","Single, never married",9.0,11.0,23.0,1,1,Male,Some college or less,Less than 50k,Liberal,Other or independent,Working,Not married
High school graduate,Male,1998.0,"Unemployed, not looking for work","$110,000 - $124,999",Slightly liberal,"Independent, but lean Democrat","Single, never married",2.0,7.0,22.0,1,0,Male,Some college or less,100k+,Liberal,Other or independent,Not working,Not married
4-year degree,Female,1970.0,Employed full-time in an organization,"$90,000 - $99,999",Moderate; middle of the road,"Independent, but lean Republican",Married or in a domestic partnership,10.0,11.0,50.0,1,1,Female,College degree,50k to 99k,Moderate,Other or independent,Working,Married
4-year degree,Male,1985.0,Self-employed,"$30,000 - $39,999",Extremely liberal,Republican,Married or in a domestic partnership,10.0,9.0,35.0,1,1,Male,College degree,Less than 50k,Liberal,Republican,Working,Married
4-year degree,Male,1961.0,Retired,"$125,000 or more",Extremely conservative,"Independent, but lean Republican",Married or in a domestic partnership,2.0,5.0,59.0,0,0,Male,College degree,100k+,Conservative,Other or independent,Not working,Married
Some college,Male,1955.0,Self-employed,"$40,000 - $49,999",Slightly conservative,"Independent, but lean Republican",Divorced,11.0,11.0,65.0,1,1,Male,Some college or less,Less than 50k,Conservative,Other or independent,Working,Not married
